Round,Date,Colony,Treatment,New Egg batches,Colony Mass 
Round2,21,col11,c,1,
Round2,21,col12,nb,0,
Round2,21,col13,nb,4,
Round2,21,col14,c,4,
Round2,21,col15,db,0,
Round2,21,col16,c,5,
Round2,22,col9,db,3,1044
Round2,22,col10,c,2,999
Round2,22,col11,c,3,970
Round2,22,col12,nb,1,713
Round2,22,col13,nb,3,748
Round2,22,col14,c,3,973
Round2,22,col15,db,2,1093
Round2,22,col16,c,2,1045
Round2,23,col9,db,3,
Round2,23,col10,c,3,
Round2,23,col11,c,4,
Round2,23,col12,nb,0,
Round2,23,col13,nb,3,
Round2,23,col14,c,4,
Round2,23,col15,db,4,
Round2,23,col16,c,3,
Round2,24,col9,db,6,1087
Round2,24,col10,c,5,1052
Round2,24,col11,c,4,1023
Round2,24,col12,nb,1,725
Round2,24,col13,nb,4,765
Round2,24,col14,c,1,1027
Round2,24,col15,db,3,1144
Round2,24,col16,c,4,1097
Round2,25,col9,db,5,
Round2,25,col10,c,2,
Round2,25,col11,c,2,
Round2,25,col12,nb,2,
Round2,25,col13,nb,5,
Round2,25,col14,c,5,
Round2,25,col15,db,6,
Round2,25,col16,c,4,
Round2,26,col9,db,6,1129
Round2,26,col10,c,4,1103
Round2,26,col11,c,5,1077
Round2,26,col12,nb,1,746
Round2,26,col13,nb,4,793
Round2,26,col14,c,3,1056
Round2,26,col15,db,4,1201
Round2,26,col16,c,3,1137
Round2,27,col9,db,,
Round2,27,col10,c,,
Round2,27,col11,c,,
Round2,27,col12,nb,,
Round2,27,col13,nb,,
Round2,27,col14,c,,
Round2,27,col15,db,,
Round2,27,col16,c,,
